InterContinentalTahitiResort&Spa,Tres bel hotel à quelques minutes de l’aeroport.Belle situation avec vue sur Moorea.Ambiance paradisiaque avec belle piscine lagoonarium/ etc.Un air de club de vacances mais aussi pour un sejour affaires.Personnel agreable et souriant.Chambre confortable. Proprete ok. Insonorisation a revoir.Bon wifiRestaurants assez chers mais comme tous sur l’ile.Essayer le Lotus au moins une fois.Pas de navette aeroportAucune actvité autour de l’hotel.,Il y a 3 jours,avril 2019,Tompb001,4.0
InterContinentalTahitiResort&Spa,À notre arrivée/ tous le personnel nous dise bonjour même si nous sommes résidant/ le service est super avec toujours le sourire. Nous avons bien manger. Nous n’avons pas été déçu pour un premier repas (petit déjeuner) familial au resto et surtout à l’intercontinental.Il y a juste le prix que l’on trouvait un peu trop chère mais pour le reste/ rien à dire. À y retourner et recommander.,il y a 4 semaines,mars 2019,Mimisqualy,4.0
InterContinentalTahitiResort&Spa,Nous sommes restés en transit dans cet hôtel 2 nuits lorsque nous sommes arrivés sur Tahiti où notre séjour a été des plus agréables (superbe chambre/ vue imprenable sur le lagon/ personnel agréable) et 3 nuit avant de reprendre l’avion pour la France. Et c’est la que ça coince ...A l’intercontinental de Moorea nous avions bénéficié d’un Check-out tardif (16h) laveille de notre départ. Quelle surprise de voir que l’intercontinental de Tahiti ne pratique pas la même politique !Nous appelons tout d’abord le jour de notre arrivée pour demander un départ tardif (notre avion est à 22h et le check-out se dit normalement à 11h)/ la réceptionniste nous répond qu’elle ne peut rien garantir mais que « des fois/ éventuellement/ ça peut passer lorsqu’on demande la veille au soir ». Lorsque nous arrivons pour notre check-in nous redemandons (sait-on jamais) : la réceptionniste dit qu’elle va laisser un mot dans notre « dossier » mais qu’il faudra demander confirmation le jour même ou « peut être que ça peut passer la veille au soir ». Mais il ne faut pas s’inquiéter ... au pire nous avons toujours l’option de payer une nuit supplémentaire ... pour quitter l’hôtel à 19h ... la blague !!!!Mais bon qu’à cela ne tienne nous retournons à la réception la veille au soir (ça commençait à franchement nous agacer). Et la ... en plus de rigoler en nous disant que l’hôtel sera complet/ le réceptionniste nous annonce qu’on ne peut demander confirmation de Check-out tardif que le matin du départ À N’IMPORTE QU’ELLE HEURE du matin mais que le matin tout de même. Nous appelons le matin à 6h40... pour s’entendre dire que la brigade n’est pas encore arrivée et qu’ils nous rappelleront pour nous tenir au courant dans la journée...Incroyable de devoir se mettre à genou et de mettre son réveil à 6h30 le matin pour demander un départ tardif que finalement personne n’est capable de nous confirmer ... enceinte de 5 mois/ j’étais tellement stressée à l’idée de devoir poireauter dans l’hôtel pendant 8h que j’ai à peine dormipour ma dernière nuit ... dommage de clôturer son voyage de noce dans ces conditions... avec en prime personne pour s’excuser ou pour chercher une solution... à si ... les chambres de transit ... du coup je suppose que nous n’avons pas à nous plaindre.Autre chose : petit déjeuner/ on m’apporte un chocolat chaud (dans un Thermos/ important de préciser). 20min plus tard je bois le chocolat : il est froid. Je me resserre du Thermos/ le chocolat est froid. Je le fais gentiment remarquer à la serveuse qui me rétorque de mauvaise foi que c’est le ventilateur du plafond qui a refroidi le chocolat ... en Thermos ... à 9h20 du matin ... 31 degrés température extérieure ... je n’ai pas voulu en rajouter je n’ai rien dit ... mais ça me fait doucement rigoler de me faire prendre pour une idiote par une serveuse qui est visiblement fiu.Membre du IHG rewards club/ on nous remercie de notre fidélité envers la chaîne interconti par une consommation gratuite (uniquement vin/ bière ou boisson non alcoolisée/ mais disons que c’est déjà mieux que rien) mais lorsque les clients demandent un service en particulier il n’y a plus personne ... c’est extrêmement décevant ... on a l’impression d’etre une pompe à fric ambulante (je suppose que c’est le sort réservé aux clients de ce genre d’hôtel de toutes les manières). Dommage parce que le personnel au bar-piscine et les bagagistes sont très sympas ...Mais pour être déjà venue dans cet hôtel 13 ans auparavant avec mes parents et avoir été époustouflée/ je peux dire que l’hotel a de quoi se remettre sérieusement en question sur la qualité des services proposés/ la qualité des chambres (les serviettes meme pas changées tous les jours)/ rien dans le mini-bar/ personne pour nous expliquer ou nous donner un plan de l’hôtel avec les activités proposées... L’interconti de Moorea est beaucoup plus soucieux de ses clients et beaucoup plus respectueux que celui de Tahiti.On sent que l’interconti de Tahiti n’est qu’un hôtel transit ... simplement lorsqu’on seprend pour un 4 étoiles ... on les assume ou on ne les porte pas. Surtout pour nous dire que le départ tardif n’est finalement pas possible ... même pas pour 1h.,19 mars 2019,mars 2019,394yannc,1.0
InterContinentalTahitiResort&Spa,Dernière nuit de notre voyage de nocesUn établissement paradisiaque qui fait rêver...Personnel au petit soinPetit déjeuner gargantuesquePiscine à débordement et lagonnarium pour se baignerUne nuit de rêve pour un voyage de rêve,15 mars 2019,mars 2019,DUTOT E,5.0
InterContinentalTahitiResort&Spa,Nous avons séjourné à cet hôtel pour deux nuits avant notre départ. Nous avons visité Papeete grâce à la navette de l'hôtel qui nous a emmené près du marché.L'hôtel est bien placé proche de l'aéroport (quelques départs de long courrier font du bruit).Le spectacle marquisien est excellent et le restaurant très copieux.Nous avons également bien apprécié les deux piscines dont celles à fond de sable avec la vue sur Moorea.Nous avons hâte de repartir à tahiti pour refaire le même périple....,10 mars 2019,octobre 2018,Celine W,5.0
InterContinentalTahitiResort&Spa,très bien situe /avec grand jardin et surtout vue sur Moorea et ses couchers de soleil.Grand jardin/piscine/chambres confortable/ propres/ bien équipées.wi fi impeccable. restaurants parfaits (petit déjeuner en buffet plantureux). Idéal pour récupérer du décalage horaire avant de faire les iles.Personnel très gentil .Un peu grand/donc un peu impersonnel/mais c'est le cas hors pensions à Papeete comme dans les grandes iles,4 mars 2019,février 2019,gegechaou,5.0
InterContinentalTahitiResort&Spa,"Un beau séjour"Un séjour agréable dans un BEL hôtel bien entretenu. Des chambres sobres/ propres avec un décor bord de mer/ une salle de bains digne de ce nom (spacieuse) et une vue agréable sur la piscine et la mer Un personnel agréable et dévoué (même si pas présent 24h/24h) je recommande vivement cet hôtel.Nous y reviendrons surement .,22 février 2019,novembre 2018,GilbertJempfer,5.0
InterContinentalTahitiResort&Spa,Il en veulent que votre argent! Au début on est impressionné par la beauté du lieu/ mais une fois la première impression passée vous vous rendez compte que ce n’est qu’un mirage!! Les chambres trop petites et vieillottes trop même/ le service est nul! Dommage pour la Polynésie on s’attendait à mieux! Et au restaurant pas de garafes d’eau mais des bouteilles à des prix faramineux ! La piscine était sale bref pour une chaîne comme l’intercontinental les standards n’y sont pas du tout ! À fuir!!! Et à Moorea ce n’est pas mieux... c’est le tourisme populaire en masse... pas de chance nous qui sommes fidèles à cette marque sommes très déçus.. à ce prix on s’atrend A un minimum !!,20 février 2019,novembre 2018,23louisesuponr,1.0
InterContinentalTahitiResort&Spa,Nous sommes arrivés à l'hôtel le soir après 22 h de vol et nous avons été très bien accueilli à l'hôtel nous avons eu une belle chambre en riez de chaussée avec une terasse et la vue sur le coucher du soleil ! Chambre spacieuse avec grand lit belle salle de bain ! Grande piscine / restaurant très bon et personnel très gentil nous y sommes restés 2 nuits à l'arrivée et une avant notre départ et là nous avons pu encore bénéficier d'une chambre pour nous reposer avant notre retour nous avons eu une très belle chambre a l'étage qui vénait d'être rénovèe (superbe) si nous devons retourner à Tahiti nous retournerons à cet hotel sans hésiter,17 février 2019,septembre 2018,Estelle L,5.0
InterContinentalTahitiResort&Spa,Meilleur hôtel sur Tahiti/ personnel au petit soin/ large choix au buffet restaurant Tiare/ les restaurant au lotus est une tuerie/ un environnement magnifique. Les enfants adorent y séjourner et nous avec.,21 janvier 2019,janvier 2019,h_l_netuanakimadisst,5.0
